state	yr	qtr	index_nsa	index_sa	Warning
AK	1991	1	100.00	100.00	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	2	100.72	100.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	3	101.82	101.10	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	4	102.12	102.08	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	1	102.27	102.20	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	2	103.98	103.42	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	3	104.77	104.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	4	104.07	104.13	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	1	105.02	104.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	2	106.97	106.39	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	3	108.06	107.34	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	4	110.38	110.53	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	1	110.90	110.58	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	2	111.28	110.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	3	112.55	111.91	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	4	111.08	111.23	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	1	114.66	114.28	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	2	116.37	115.65	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	3	117.58	116.98	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	4	117.48	117.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	1	120.66	120.34	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	2	120.92	120.06	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	3	120.89	120.28	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	4	123.13	123.26	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	1	123.30	123.18	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	2	124.73	123.68	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	3	125.28	124.57	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	4	125.45	125.61	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	1	125.60	125.72	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	2	129.35	128.11	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	3	130.02	129.14	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	4	130.63	130.82	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	1	131.41	131.80	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	2	133.97	132.60	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	3	134.54	133.37	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	4	130.79	131.13	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	1	133.00	133.50	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	2	136.82	135.43	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	3	137.95	136.53	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	4	136.56	137.05	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	1	139.89	140.42	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	2	144.21	142.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	3	146.86	145.18	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	4	147.79	148.43	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	1	148.72	149.19	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	2	153.14	151.83	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	3	157.77	155.88	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	4	156.37	157.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	1	159.68	160.18	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	2	163.94	162.59	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	3	166.59	164.53	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	4	170.28	171.01	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	1	174.87	175.48	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	2	178.56	176.98	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	3	185.35	183.13	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	4	186.98	187.70	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	1	192.32	193.29	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	2	199.39	197.24	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	3	206.33	204.03	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	4	207.42	208.13	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	1	210.91	212.24	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	2	218.71	216.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	3	220.04	217.81	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	4	218.84	219.27	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	1	221.08	222.94	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	2	229.22	226.14	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	3	226.50	224.23	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2007	4	221.75	222.04	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	1	216.86	218.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	2	226.14	223.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	3	223.41	220.96	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2008	4	224.35	224.45	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	1	223.63	226.16	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	2	218.70	215.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	3	217.16	214.39	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2009	4	215.84	215.95	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	1	212.50	215.05	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	2	222.30	219.81	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	3	226.17	222.79	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2010	4	219.25	219.26	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	1	221.85	224.90	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	2	225.60	223.21	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	3	227.93	224.11	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2011	4	222.36	222.40	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	1	214.97	218.14	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	2	227.19	224.83	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	3	231.37	227.37	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2012	4	228.43	228.29	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	1	226.99	230.66	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	2	234.43	231.82	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	3	235.25	231.32	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2013	4	232.87	232.56	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	1	227.32	231.03	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	2	236.03	233.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	3	242.26	238.54	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2014	4	243.28	242.66	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	1	241.43	245.42	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	2	249.22	246.32	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2015	3	248.15	244.53	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AL	1991	1	100.00	100.00	
AL	1991	2	101.57	101.22	
AL	1991	3	102.71	101.98	
AL	1991	4	103.31	102.71	
AL	1992	1	104.33	104.33	
AL	1992	2	104.60	104.22	
AL	1992	3	106.97	106.20	
AL	1992	4	108.47	107.87	
AL	1993	1	108.98	108.98	
AL	1993	2	110.09	109.64	
AL	1993	3	112.21	111.42	
AL	1993	4	113.32	112.76	
AL	1994	1	114.08	114.04	
AL	1994	2	116.36	115.84	
AL	1994	3	117.19	116.36	
AL	1994	4	117.96	117.48	
AL	1995	1	118.45	118.38	
AL	1995	2	119.68	119.05	
AL	1995	3	121.58	120.77	
AL	1995	4	121.91	121.50	
AL	1996	1	122.89	122.75	
AL	1996	2	125.25	124.52	
